
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   231: 00109ee0   271 FUNC    GLOBAL DEFAULT   12 __nss_next2@@GLIBC_PRIVATE
   232: 001b8b10     4 OBJECT  WEAK   DEFAULT   33 __free_hook@@GLIBC_2.0
   233: 000b0e70   523 FUNC    GLOBAL DEFAULT   12 putgrent@@GLIBC_2.1
   234: 000fe200   190 FUNC    GLOBAL DEFAULT   12 getservent_r@@GLIBC_2.1.2
   235: 0007bd30    83 FUNC    WEAK   DEFAULT   12 argz_stringify@@GLIBC_2.0
   236: 00127e30    38 FUNC    GLOBAL DEFAULT   12 getservent_r@GLIBC_2.0
   237: 00068010   208 FUNC    GLOBAL DEFAULT   12 open_wmemstream@@GLIBC_2.4
   238: 00105410   198 FUNC    GLOBAL DEFAULT   12 inet6_opt_append@@GLIBC_2.5
   239: 000f7670    73 FUNC    WEAK   DEFAULT   12 clock_getcpuclockid@@GLIBC_2.17
   240: 000fe0a0   163 FUNC    GLOBAL DEFAULT   12 setservent@@GLIBC_2.0
   241: 000eb100    64 FUNC    GLOBAL DEFAULT   12 timerfd_create@@GLIBC_2.8
   242: 000778e0    70 IFUNC   GLOBAL DEFAULT   12 strrchr@@GLIBC_2.0
   243: 0011ee40   310 FUNC    WEAK   DEFAULT   12 posix_openpt@@GLIBC_2.2.1
   244: 00115db0    68 FUNC    GLOBAL DEFAULT   12 svcerr_systemerr@@GLIBC_2.0
   245: 0006a760    56 FUNC    GLOBAL DEFAULT   12 fflush_unlocked@@GLIBC_2.0
   246: 00025600    23 FUNC    GLOBAL DEFAULT   12 __isgraph_l@@GLIBC_2.1
   247: 000f9b50    40 FUNC    GLOBAL DEFAULT   12 __swprintf_chk@@GLIBC_2.4
   248: 000647f0    41 FUNC    GLOBAL DEFAULT   12 vwprintf@@GLIBC_2.2
   249: 000b2e10   196 FUNC    WEAK   DEFAULT   12 wait@@GLIBC_2.0
   250: 00062ef0   310 FUNC    WEAK   DEFAULT   12 setbuffer@@GLIBC_2.0
   251: 00075180    97 FUNC    WEAK   DEFAULT   12 posix_memalign@@GLIBC_2.2
   252: 000d85a0    29 FUNC    GLOBAL DEFAULT   12 posix_spawnattr_setschedp@@GLIBC_2.2
   253: 000802f0    35 FUNC    GLOBAL DEFAULT   12 __strcpy_g@@GLIBC_2.1.1
   254: 00104dd0   288 FUNC    GLOBAL DEFAULT   12 getipv4sourcefilter@@GLIBC_2.3.4
   255: 000f9ea0   297 FUNC    GLOBAL DEFAULT   12 __vwprintf_chk@@GLIBC_2.4
   256: 000faaa0    85 FUNC    GLOBAL DEFAULT   12 __longjmp_chk@@GLIBC_2.11
   257: 0005e590   115 FUNC    GLOBAL DEFAULT   12 tempnam@@GLIBC_2.0
   258: 00025230    43 FUNC    GLOBAL DEFAULT   12 isalpha@@GLIBC_2.0
   259: 00034cb0    26 FUNC    WEAK   DEFAULT   12 strtof_l@@GLIBC_2.3
   260: 000cd5e0   225 FUNC    GLOBAL DEFAULT   12 regexec@@GLIBC_2.3.4
   261: 000ea040   131 FUNC    WEAK   DEFAULT   12 llseek@@GLIBC_2.0
   262: 000e2890    37 FUNC    GLOBAL DEFAULT   12 revoke@@GLIBC_2.0
   263: 00126fb0    49 FUNC    GLOBAL DEFAULT   12 regexec@GLIBC_2.0
   264: 000cd6d0    37 FUNC    WEAK   DEFAULT   12 re_match@@GLIBC_2.0
   265: 000e6fb0  1114 FUNC    WEAK   DEFAULT   12 tdelete@@GLIBC_2.0
   266: 000da150    60 FUNC    WEAK   DEFAULT   12 pipe@@GLIBC_2.0
   267: 000db540    72 FUNC    GLOBAL DEFAULT   12 readlinkat@@GLIBC_2.4
   268: 000f9730    75 FUNC    GLOBAL DEFAULT   12 __wctomb_chk@@GLIBC_2.4
   269: 000e84d0    22 FUNC    WEAK   DEFAULT   12 get_avphys_pages@@GLIBC_2.0
   270: 001129f0   374 FUNC    GLOBAL DEFAULT   12 authunix_create_default@@GLIBC_2.0
   271: 00068240   177 FUNC    GLOBAL DEFAULT   12 _IO_ferror@@GLIBC_2.0
   272: 000fe4b0   334 FUNC    GLOBAL DEFAULT   12 getrpcbynumber@@GLIBC_2.0
   273: 000b5100  1844 FUNC    GLOBAL DEFAULT   12 __sysconf@@GLIBC_2.2
   274: 0007b900    60 FUNC    WEAK   DEFAULT   12 argz_count@@GLIBC_2.0
   275: 00077380    68 FUNC    GLOBAL DEFAULT   12 __strdup@@GLIBC_2.0
   276: 000f93d0    98 FUNC    GLOBAL DEFAULT   12 __readlink_chk@@GLIBC_2.4
